method,n,rmse,mae,r2,skill_vs_persistence,skill_vs_single_model
single_model,911,2.3183497785562905,1.526289561459385,0.20291400849258634,0.06587851609031259,0.0
two_stage,911,2.416597273961793,1.5620203494962421,0.13392436974137034,0.026292127078836658,-0.04237820207901688
persistence,911,2.481850400071125,1.7323483165161562,0.08652123615250695,0.0,-0.07052457011756497
