method,method_type,n,rmse,mae,r2,skill_vs_shrink_to_mean
shrunken_persistence,baseline,911,0.23868033377746686,0.17096289190241412,0.39200315349766857,0.023875287539671164
random_forest,model,911,0.2399391731525004,0.17219063352007027,0.3855728900335835,0.018727045103685613
shrink_to_mean,baseline,911,0.24451827797277204,0.1759028367293636,0.36189711096477206,0.0
gradient_boosting,model,911,0.2509333326245156,0.1802203807853432,0.32797603192313585,-0.02623548106476492
