season,team,player_seasons,total_value_above_expected_salary,mean_value_above_expected_salary,median_value_above_expected_salary,total_salary_millions,median_salary_millions,mean_value_score,high_efficiency_players,low_efficiency_players
2024,JAX,14,-4.55842016675,-0.325601440482,-0.339836139762,155.198766,4.667182,-0.197946284578,2,6
2025,TB,13,-4.71742798995,-0.36287907615,-0.401829110665,104.524077,1.618195,-0.280604184244,1,3
2020,DAL,10,-4.76963109027,-0.476963109027,-0.295669412177,72.855454,2.040472,-0.331829600955,2,3
2024,LV,10,-4.79231247933,-0.479231247933,-0.334433096311,48.557107,2.2702035,-0.426444974521,3,5
2017,BAL,13,-4.81318284183,-0.370244833987,-0.310884321858,86.51482,2.164311,-0.297142555151,2,4
2023,JAX,11,-5.01255132221,-0.455686483838,-0.439972116953,91.936948,5.321796,-0.293587959778,0,4
2017,ARI,9,-5.17568513725,-0.575076126362,-0.403717112835,47.832685,1.632251,-0.546094530526,1,4
2020,CHI,13,-5.27172767068,-0.40551751313,-0.56900770953,82.807605,2.507467,-0.318977686798,1,7
2021,PIT,11,-5.40595681348,-0.491450619408,-0.521858605757,51.837966,1.912819,-0.399038078892,2,6
2020,PHI,12,-5.54677481632,-0.462231234693,-0.325887502265,86.784223,1.867122,-0.456536452993,3,6
2023,PIT,11,-5.6453308565,-0.513211896046,-0.647982501558,59.370228,2.442074,-0.392578739889,1,5
2023,LV,11,-5.69756943736,-0.517960857942,-0.212862770497,109.959097,3.119738,-0.268526431289,1,3
2022,TB,12,-5.75726833637,-0.479772361364,-0.378868924968,105.527668,3.8210595,-0.303095703086,0,4
2016,DEN,8,-5.76015134321,-0.720018917901,-0.281168879381,64.594219,1.908237,-0.607156550462,0,3
2019,CIN,8,-5.82096299686,-0.727620374607,-0.879647308838,91.462662,7.9798505,-0.38530825138,1,6
2017,MIA,11,-5.85469329427,-0.532244844933,-0.687159369862,64.563062,3.241056,-0.418179866931,1,6
2019,CHI,9,-5.87648588137,-0.652942875708,-0.0619382059662,75.296292,8.002125,-0.481107801612,1,4
2022,ARI,12,-5.89684384586,-0.491403653821,-0.536118932748,137.116512,3.786578,-0.389827117657,0,6
2021,CHI,12,-5.97728437325,-0.498107031104,-0.620670188096,83.590359,2.677282,-0.404143099779,1,7
2022,WAS,15,-6.18586060353,-0.412390706902,-0.259318408281,146.877467,3.746916,-0.320652716376,2,7
2019,PIT,12,-6.57227918209,-0.547689931841,-0.531045902758,28.531288,1.457101,-0.640228660732,0,5
2023,ATL,12,-6.62376977714,-0.551980814762,-0.372076750684,60.11939,2.740712,-0.3883489191,1,4
2016,NYJ,10,-6.6645469583,-0.66645469583,-0.655803862937,65.245994,2.138297,-0.581249704428,0,6
2016,SF,10,-6.67285142517,-0.667285142517,-0.446650243839,74.051441,1.866655,-0.563868086554,0,4
2016,BAL,11,-6.69394591875,-0.608540538068,-0.6688765197,93.333511,4.575038,-0.390883015472,2,6
2021,JAX,13,-6.70333394022,-0.515641072325,-0.403205463549,59.600226,2.923885,-0.487689127771,1,6
2024,NYG,12,-6.71307752509,-0.559423127091,-0.399983512445,37.54712,1.643686,-0.512174370382,1,5
2024,TEN,13,-6.8568760265,-0.527452002038,-0.0860532142663,57.131537,1.839157,-0.512336395226,0,4
2022,NYJ,10,-6.8927159533,-0.68927159533,-0.73383335695,81.185469,8.0569565,-0.420128772705,1,6
2021,NYJ,14,-6.91333216738,-0.493809440527,-0.447631585631,75.696313,2.682594,-0.456367800783,0,6
2024,CLE,12,-6.94297275453,-0.578581062878,-0.289011271654,63.055505,2.246014,-0.583675265525,1,5
2025,MIN,12,-6.97723007471,-0.581435839559,-0.446689631715,113.805685,6.1053655,-0.357905200393,1,5
2020,DEN,10,-6.98101480329,-0.698101480329,-0.890020999696,37.632028,2.7583045,-0.652513893911,1,6
2016,HOU,13,-6.99821795075,-0.53832445775,-0.546737790534,69.726226,1.510221,-0.495219962853,0,5
2020,NYJ,13,-7.05316432954,-0.542551102272,-0.414423356414,55.283425,1.535005,-0.608828051661,1,5
2024,DAL,14,-7.11184947114,-0.507989247938,-0.561873228143,143.086146,1.718048,-0.438273038319,2,8
2017,TEN,12,-7.13161587206,-0.594301322672,-0.495927116115,78.248397,4.95988,-0.426467213731,0,6
2021,NYG,10,-7.26554693726,-0.726554693726,-0.626224841955,81.151661,5.0996685,-0.633139824429,0,6
2024,IND,13,-7.43894971558,-0.572226901198,-0.686874579426,84.127634,2.177652,-0.414655427728,2,7
2023,WAS,13,-7.52751608982,-0.579039699217,-0.345622462001,86.155756,1.824598,-0.394921612549,0,6
2023,NYG,14,-7.5628007803,-0.540200055736,-0.355155599338,76.121568,1.880041,-0.501359504793,1,5
2018,NYJ,12,-7.89440035026,-0.657866695855,-0.737514469074,59.981685,1.5279625,-0.606455607969,1,8
2017,DEN,13,-8.38239654678,-0.644799734368,-0.584817301265,80.485616,1.548151,-0.605018825205,0,5
2018,JAX,10,-8.47679580612,-0.847679580612,-0.829551765866,76.801099,2.4988875,-0.708340319752,1,7
2022,HOU,10,-8.83144975162,-0.883144975162,-0.818516371385,48.452866,1.9024115,-0.857291579528,1,8
2025,TEN,10,-8.98419552517,-0.898419552517,-0.527000249797,33.335174,1.481377,-0.741560451937,0,6
2019,NYJ,11,-9.10524544253,-0.827749585685,-0.719812970788,70.489591,4.801275,-0.695914611382,1,7
2016,JAX,12,-9.16493993992,-0.763744994994,-0.752005489054,83.503093,3.0186525,-0.670324406743,1,8
2022,IND,11,-9.41428836392,-0.85584439672,-0.919732435856,80.268401,2.387518,-0.749941941129,1,7
2017,CLE,10,-9.75171682372,-0.975171682372,-1.2514722028,38.183372,1.931547,-0.843896121425,1,8
2021,HOU,13,-9.88280659828,-0.760215892175,-0.688935792761,67.125049,2.640658,-0.722155203311,0,7
2018,BUF,13,-10.0939129053,-0.776454838866,-0.51884861547,60.515723,1.342822,-0.786663174998,1,7
2023,CLE,13,-10.13281804,-0.779447541542,-0.683119525816,72.3298,1.879306,-0.688105873741,1,7
2023,NYJ,11,-10.6641392273,-0.969467202483,-0.946513668154,79.47703,7.433798,-0.74986457798,0,8
2023,CAR,14,-11.2392291716,-0.802802083688,-0.57871599883,69.033433,2.9452665,-0.703622342739,1,7
2023,NE,14,-11.796107035,-0.842579073926,-0.858201495438,76.010959,3.2853765,-0.846661956901,1,10
2021,CAR,12,-12.1363158474,-1.01135965395,-0.802867607195,57.330627,1.855301,-0.899389893231,0,7
2025,CLE,14,-12.3471930401,-0.88194236001,-0.683662841599,58.754483,1.5314715,-0.892049778987,0,11
2016,LA,11,-12.3682344606,-1.12438495096,-0.540142961269,58.343575,1.697366,-1.04311528591,2,5
2025,LV,12,-12.8013527821,-1.06677939851,-0.556531646148,73.86304,1.9076435,-0.981226038371,2,7
2018,ARI,9,-12.9497930721,-1.4388658969,-0.984376055885,50.659061,1.432183,-1.38957138974,0,5
