season,team,player_seasons,total_value_above_expected_salary,mean_value_above_expected_salary,median_value_above_expected_salary,total_salary_millions,median_salary_millions,mean_value_score,high_efficiency_players,low_efficiency_players
2020,NO,11,4.86040273338,0.441854793944,0.542410012302,116.87574,5.76153,0.591052308328,6,0
2016,NO,8,4.80197220717,0.600246525896,0.732379562936,83.296584,4.668696,0.827370737356,5,0
2019,SF,12,4.74251193507,0.395209327922,0.0355367492776,81.505937,1.9682675,0.461185588994,5,3
2019,MIN,12,4.7014329934,0.391786082783,0.182872305368,124.639343,1.8544175,0.528338944959,4,0
2024,SF,10,4.67893859151,0.467893859151,0.0986848069595,76.678782,1.676118,0.600659498647,4,1
2021,CIN,10,4.58241136944,0.458241136944,0.325268613349,82.561394,6.5314355,0.731739328588,5,2
2017,PIT,11,4.49319628878,0.408472389889,0.516113043162,121.737629,1.89187,0.528950880683,5,1
2025,DAL,12,4.4413526157,0.370112717975,0.122810849086,145.998275,2.839232,0.616113788769,3,2
2021,PHI,9,4.41440751748,0.490489724165,0.375424240749,47.116093,2.144662,0.669361233967,5,1
2022,DET,11,4.38009079886,0.398190072624,0.435453389814,91.288858,3.2441,0.551789642888,6,1
2016,PIT,9,4.31082333513,0.47898037057,0.479465324473,79.949825,1.568758,0.531273066406,4,2
2016,GB,10,4.30987709556,0.430987709556,0.071406449712,116.028662,3.7807675,0.603214958871,4,1
2023,LA,11,4.25201130997,0.386546482725,0.44944004428,120.008223,1.470732,0.466012461119,5,2
2025,GB,12,4.22354183356,0.351961819463,0.0837148018599,108.847773,1.77604,0.496983864029,4,2
2025,SF,12,4.22317607126,0.351931339272,0.634479340836,131.823704,4.045487,0.521267117147,7,3
2021,GB,13,4.2077531877,0.323673322131,0.235063270442,115.114332,2.008189,0.407809799751,5,2
2018,SEA,10,4.14541789511,0.414541789511,0.163121213767,107.68539,4.624541,0.654299663385,3,0
2020,CLE,10,4.0920720884,0.40920720884,0.342727447789,77.247933,3.7161795,0.607691641448,5,2
2019,HOU,12,3.80152373744,0.316793644787,0.56501854565,76.834792,3.440914,0.414139764259,7,2
2023,BAL,11,3.79907583583,0.34537053053,0.134970040266,139.468615,4.534078,0.60960321428,3,1
2016,BUF,11,3.65155608381,0.331959643983,-0.0923174428771,91.586073,2.90977,0.447290008639,2,0
2023,BUF,11,3.61246159271,0.328405599337,0.464120636153,146.221241,2.371548,0.593645233403,7,2
2024,ARI,11,3.54453626806,0.322230569823,0.173662878835,103.01137,1.78853,0.551582914842,2,0
2019,TEN,12,3.51522995969,0.292935829974,0.302904215511,57.351781,1.8467805,0.308237165284,5,2
2022,NYG,9,3.44694085478,0.382993428309,0.296030945964,21.974655,1.509661,0.342854739569,5,0
2023,GB,13,3.40584683359,0.261988217968,0.340394513182,54.402728,1.85501,0.319191603909,7,0
2016,TB,9,3.30555092126,0.367283435696,0.161843933066,44.538476,1.629471,0.433619204413,2,1
2021,TEN,12,3.25397475183,0.271164562652,0.345962998875,118.670522,2.061193,0.348759073605,4,0
2024,LAC,11,3.2525297784,0.295684525309,0.183617888299,96.935555,2.07624,0.41348661152,5,2
2022,MIA,11,3.22469108507,0.293153735006,-0.0988900448966,114.099121,8.75245,0.595125536815,3,4
2021,LA,9,3.15174377641,0.350193752935,-0.0885386470815,120.783935,4.090803,0.634334130316,4,3
2019,GB,11,3.12081258607,0.283710235097,0.0992540279237,114.199438,1.33736,0.382051017584,3,1
2025,CHI,11,3.01110047001,0.273736406365,0.164337363982,93.212929,6.699902,0.562205944873,4,2
2018,NE,10,2.95961600083,0.295961600083,0.220264847063,51.632035,4.886851,0.359088341495,4,1
2018,PHI,10,2.93691181706,0.293691181706,0.251623830199,79.174774,3.659114,0.48391678453,4,1
2021,BUF,9,2.91989194816,0.324432438685,0.282396133952,125.014998,1.860838,0.627074674219,4,2
2023,PHI,10,2.81350257183,0.281350257183,0.147200974907,148.820398,2.9619075,0.541462210572,3,0
2016,CIN,12,2.80727546485,0.233939622071,-0.0475000151374,99.82615,2.0952995,0.351559248848,4,1
2022,JAX,10,2.79519135635,0.279519135635,0.086512972506,96.697453,9.07726,0.63241843022,4,1
2025,ARI,9,2.75677898628,0.306308776254,-0.199994643316,47.906718,1.78853,0.429239286318,3,2
2024,GB,9,2.72007645838,0.302230717598,0.471910187804,91.802065,1.85501,0.539784740838,3,2
2017,LA,11,2.69539865184,0.245036241076,0.147564566251,74.487234,2.725431,0.441047295582,5,3
2025,IND,13,2.6887015155,0.2068231935,-0.156873209499,84.46803,2.373352,0.327587442826,4,2
2017,TB,12,2.68199224422,0.223499353685,0.358827709261,71.066852,2.3663955,0.376238000625,6,1
2024,KC,11,2.64006430609,0.240005846008,0.267975074294,126.481308,2.277758,0.425323183057,5,0
2025,SEA,12,2.6324404301,0.219370035841,-0.005244887329,73.810066,2.3401005,0.2891578864,2,3
2022,CLE,10,2.63173440332,0.263173440332,0.318335558891,91.771907,4.291594,0.500495703417,4,2
2018,SF,12,2.57104976398,0.214254146998,-0.401508630202,44.944773,1.207499,0.140006007595,3,6
2018,IND,11,2.44061591019,0.221874173653,0.0182022093456,106.440228,1.342822,0.359963133963,4,2
2018,CAR,10,2.28805076167,0.228805076167,-0.102575258016,94.112167,4.4983075,0.38029544998,3,2
2019,LV,11,2.25202400596,0.204729455087,0.205079490671,95.765004,3.144582,0.419967862594,4,2
2016,LAC,8,2.23611316762,0.279514145953,-0.0138120508445,78.082202,4.35082,0.459037318253,2,0
2021,SEA,12,2.22987719641,0.185823099701,-0.117060495853,111.384709,1.7344075,0.333387212474,5,3
