stage,n,stage_rmse,mean_only_rmse,skill_vs_mean,mean_actual,mean_prediction
target_share (renormalized),21778,0.0806344380777,0.12278093095,0.343265786845,0.147671962531,0.147671962531
team_attempts,21778,8.35678653053,8.09710139713,-0.0320713698232,33.8776747176,34.0976757407
ppr_per_target,19023,1.44626213807,1.44272518864,-0.00245157529562,1.7775835276,1.76227796204
