season,player_id,player_display_name,position,team,games_played,age,years_exp,draft_number,value_score,value_epa_total,position_season_percentile,salary_millions,salary_source,contract_player,contract_team,year_signed,years,apy,apy_cap_pct,inflated_apy,value_per_million,epa_per_million,salary_percentile,value_cost_percentile_gap,expected_value_given_salary,value_above_expected_salary,salary_efficiency_percentile,salary_efficiency_tier,has_salary,salary_match_status,salary_interpretation
2016,00-0030525,Tavon Austin,WR,LA,15,26,3,8,-2.47053308142,-34.2314433491,0.00568181818182,20.476054,inflated_apy,Tavon Austin,Rams,2016,4,10.555501,0.068,20.476054,-0.120654745364,-1.67177930616,0.905063291139,-0.899381472957,0.618675379221,-3.08920846064,0.00632911392405,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2020,00-0032144,Melvin Gordon,RB,DEN,15,27,5,15,-2.55455645949,-35.0268801817,0.0225563909774,12.157417,inflated_apy,Melvin Gordon,Broncos,2020,2,8,0.04,12.157417,-0.210123290127,-2.88111201431,0.944444444444,-0.921888053467,0.48301898677,-3.03757544626,0.015873015873,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0032063,Mike Davis,RB,ATL,17,28,6,126,-2.68074940157,-41.0247664569,0.0077519379845,4.53863,inflated_apy,Mike Davis,Falcons,2021,2,2.75,0.015,4.53863,-0.590651672766,-9.03901980485,0.802419354839,-0.794667416854,0.349142670958,-3.02989207252,0.00806451612903,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2025,00-0035261,Tony Pollard,RB,TEN,17,28,6,128,-2.49034489408,-33.5214582497,0.0236220472441,8.550117,inflated_apy,Tony Pollard,Titans,2024,3,7.25,0.028,8.550117,-0.291264422941,-3.92058474167,0.888,-0.864377952756,0.514852802694,-3.00519769678,0.024,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2023,00-0039150,Bryce Young,QB,CAR,16,22,0,1,-2.44919056382,-136.604142355,0.0166666666667,12.7136,inflated_apy,Bryce Young,Panthers,2023,4,9.488769,0.042,12.7136,-0.192643355448,-10.7447255187,0.672413793103,-0.655747126437,0.443535421143,-2.89272598496,0.0172413793103,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2018,00-0031045,Carlos Hyde,RB,JAX,14,28,4,57,-2.50683824934,-46.4977331429,0.0165289256198,8.640519,inflated_apy,Carlos Hyde,CLE/JAX,2018,3,5.083333,0.029,8.640519,-0.290125888195,-5.38135882149,0.921739130435,-0.905210204815,0.374644720075,-2.88148296942,0.0173913043478,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2018,00-0034343,Josh Rosen,QB,ARI,14,21,0,10,-2.63278904281,-146.750157676,0.0192307692308,7.478055,inflated_apy,Josh Rosen,ARI/MIA,2018,4,4.39944,0.025,7.478055,-0.352068692034,-19.6241078296,0.372549019608,-0.353318250377,0.198137991408,-2.83092703422,0.0196078431373,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2020,00-0023500,Frank Gore,RB,NYJ,15,37,15,65,-3.04342915307,-40.8718094875,0.015037593985,1.595661,inflated_apy,Frank Gore,Jets,2020,1,1.05,0.005,1.595661,-1.90731562222,-25.6143438284,0.583333333333,-0.568295739348,-0.220193812833,-2.82323534024,0.0238095238095,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2025,00-0036407,Jerry Jeudy,WR,CLE,17,26,5,15,-2.13165196616,-29.5720661814,0.00485436893204,20.638215,inflated_apy,Jerry Jeudy,Browns,2024,3,17.5,0.069,20.638215,-0.103286644032,-1.4328790635,0.882926829268,-0.878072460336,0.684833584945,-2.81648555111,0.00487804878049,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2023,00-0035700,Josh Jacobs,RB,LV,13,25,4,24,-2.3044386365,-44.7158401747,0.0254237288136,15.798262,inflated_apy,Josh Jacobs,Raiders,2023,1,11.791,0.052,15.798262,-0.145866591939,-2.83042781381,0.963963963964,-0.93854023515,0.480375687012,-2.78481432351,0.027027027027,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2016,00-0029615,Lamar Miller,RB,HOU,14,25,4,,-2.2824987188,-38.4211873073,0.0165289256198,12.609004,inflated_apy,Lamar Miller,Texans,2016,4,6.5,0.042,12.609004,-0.181021333549,-3.04712309611,0.970873786408,-0.954344860788,0.494583925883,-2.77708264469,0.0194174757282,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0035700,Josh Jacobs,RB,LV,15,23,2,24,-2.46457866353,-38.1109521717,0.015503875969,4.774628,inflated_apy,Josh Jacobs,Raiders,2019,4,2.98335,0.016,4.774628,-0.516182342066,-7.98197308182,0.822580645161,-0.807076769192,0.308722706807,-2.77330137034,0.0161290322581,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2025,00-0034844,Saquon Barkley,RB,PHI,16,28,7,2,-2.11015067605,-29.0678823611,0.0393700787402,22.223209,inflated_apy,Saquon Barkley,Eagles,2025,2,20.6,0.074,22.223209,-0.0949525640537,-1.30799662466,0.992,-0.95262992126,0.656729717127,-2.76688039318,0.032,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
