season,player_id,player_display_name,position,team,games_played,age,years_exp,draft_number,value_score,value_epa_total,position_season_percentile,salary_millions,salary_source,contract_player,contract_team,year_signed,years,apy,apy_cap_pct,inflated_apy,value_per_million,epa_per_million,salary_percentile,value_cost_percentile_gap,expected_value_given_salary,value_above_expected_salary,salary_efficiency_percentile,salary_efficiency_tier,has_salary,salary_match_status,salary_interpretation
2021,00-0033471,Isaiah Ford,WR,MIA,10,25,4,237,-0.0742242017844,10.6004306723,0.578431372549,1.518378,inflated_apy,Isaiah Ford,Dolphins,2021,1,0.92,0.005,1.518378,-0.0488838759416,6.98141745487,0.316582914573,0.261848457976,-0.217348942403,0.143124740619,0.708542713568,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033481,Marcus Kemp,WR,KC,12,26,4,,-0.625941096055,-0.524460796616,0.279411764706,1.402849,inflated_apy,Marcus Kemp,Chiefs,2021,1,0.85,0.005,1.402849,-0.446192780588,-0.37385406171,0.238693467337,0.0407182973692,-0.191394676487,-0.434546419568,0.276381909548,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033526,Samaje Perine,RB,CIN,15,26,4,114,0.351215481316,-0.156225837281,0.68992248062,2.723178,inflated_apy,Samaje Perine,Bengals,2021,2,1.65,0.009,2.723178,0.128972649352,-0.0573689407306,0.677419354839,0.0125031257814,0.165589121602,0.185626359714,0.508064516129,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033528,Jeremy Sprinkle,TE,DAL,6,27,4,154,-0.323070278529,2.6052782255,0.440366972477,1.860838,inflated_apy,Jeremy Sprinkle,Cowboys,2021,1,1.1275,0.006,1.860838,-0.173615477827,1.40005643989,0.495192307692,-0.0548253352152,-0.354916474854,0.0318461963252,0.634615384615,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033536,Mike Williams,WR,LAC,16,27,4,7,2.70634985177,66.6682888226,0.980392156863,,,,,,,,,,,,,,,,,,False,missing_contract,
2021,00-0033553,James Conner,RB,ARI,15,26,4,105,1.95609979122,21.476372871,0.968992248062,2.888219,inflated_apy,James Conner,Cardinals,2021,1,1.75,0.01,2.888219,0.677268514341,7.43585333074,0.693548387097,0.275443860965,0.174958336593,1.78114145463,0.975806451613,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033555,Mack Hollins,WR,MIA,15,28,4,118,0.0247337891574,12.5958325181,0.632352941176,1.860838,inflated_apy,Mack Hollins,Dolphins,2021,1,1.1275,0.006,1.860838,0.0132917476736,6.76890332105,0.48743718593,0.144915755247,0.0299505628442,-0.00521677368675,0.597989949749,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033572,Jamal Agnew,WR,JAX,10,26,4,165,0.0828276419079,13.7672445477,0.676470588235,7.839452,inflated_apy,Jamal Agnew,Jaguars,2021,3,4.75,0.026,7.839452,0.0105654887495,1.75614884149,0.804020100503,-0.127549512267,0.131276055679,-0.0484484137713,0.532663316583,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033576,Eric Saubert,TE,DEN,10,27,4,174,-0.567998243122,-0.528154179978,0.247706422018,1.633907,inflated_apy,Eric Saubert,Broncos,2021,1,0.99,0.005,1.633907,-0.347631929554,-0.323246170056,0.389423076923,-0.141716654905,-0.161733665604,-0.406264577518,0.221153846154,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033591,Noah Brown,WR,DAL,9,25,4,239,-0.590155563177,0.197123359249,0.338235294118,1.860838,inflated_apy,Noah Brown,Cowboys,2021,1,1.1275,0.006,1.860838,-0.317145051411,0.10593257406,0.48743718593,-0.149201891812,-0.230390066128,-0.359765497048,0.326633165829,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
