overall_rank,player_id,player_display_name,position,primary_team_2025,predicted_2026_fantasy_points_ppr,prediction_interval_low,prediction_interval_high,replacement_points,vorp,vorp_low,vorp_high,auction_value,adp,adp_formatted,adp_overall_rank,edge_vs_adp,bye,adp_total_drafts,adp_window_end,is_rookie_projection
400,00-0037742,Treylon Burks,WR,WAS,25.6367086129,0,101.614185646,134.583314587,-108.946605974,-134.583314587,-32.969128941,1,,,,,,,,False
401,00-0040534,Ke'Shawn Williams,WR,PIT,25.2486502319,0,101.073307683,134.583314587,-109.334664355,-134.583314587,-33.510006904,1,,,,,,,,False
402,00-0032104,Ameer Abdullah,RB,IND,18.8301293268,0,95.1089221865,128.207979266,-109.377849939,-128.207979266,-33.0990570795,1,,,,,,,,False
403,00-0036849,Tutu Atwell,WR,LA,25.1156414954,0,100.892395744,134.583314587,-109.467673092,-134.583314587,-33.690918843,1,,,,,,,,False
404,00-0034159,Will Dissly,TE,LAC,18.585438855,0,94.326415151,128.111253946,-109.525815091,-128.111253946,-33.784838795,1,,,,,,,,False
405,00-0041398,Riley Nowakowski,TE,PIT,18.2652780511,0,37.9130382598,128.111253946,-109.845975895,-128.111253946,-90.1982156862,1,,,,,,,,True
406,00-0038896,Jacob Saylors,RB,DET,18.2438849242,0,93.9853517867,128.207979266,-109.964094342,-128.207979266,-34.2226274793,1,,,,,,,,False
407,00-0036427,Tyler Johnson,WR,NYJ,24.4567010765,0,100.299794092,134.583314587,-110.12661351,-134.583314587,-34.283520495,1,,,,,,,,False
408,00-0038564,Cameron Latu,TE,PHI,17.6906620324,0,93.3996072743,128.111253946,-110.420591914,-128.111253946,-34.7116466717,1,,,,,,,,False
409,00-0041094,Bauer Sharp,TE,TAM,17.3954584017,2.26196738267,31.8830036025,128.111253946,-110.715795544,-125.849286563,-96.2282503435,1,,,,,,,,True
410,00-0039521,Xavier Weaver,WR,ARI,23.7621536143,0,99.733620397,134.583314587,-110.821160973,-134.583314587,-34.84969419,1,,,,,,,,False
411,00-0040208,Tahj Brooks,RB,CIN,17.3820155717,0,93.192306907,128.207979266,-110.825963694,-128.207979266,-35.015672359,1,,,,,,,,False
412,00-0041116,Jack Endries,TE,CIN,16.8651160191,3.47617968196,30.563427478,128.111253946,-111.246137927,-124.635074264,-97.547826468,1,,,,,,,,True
413,00-0040590,Konata Mumpfield,WR,LA,23.0092345262,0,98.7556916969,134.583314587,-111.574080061,-134.583314587,-35.8276228901,1,,,,,,,,False
414,00-0041087,Joe Royer,TE,CLE,16.5039515448,0,33.7246643492,128.111253946,-111.607302401,-128.111253946,-94.3865895968,1,,,,,,,,True
415,00-0039923,J.J. McCarthy,QB,MIN,115.423065317,38.6571087859,192.189021848,227.064343853,-111.641278536,-188.407235067,-34.875322005,1,,,,,,,,False
416,00-0039458,Brenden Bates,TE,CLE,16.4245861116,0,92.1168416774,128.111253946,-111.686667834,-128.111253946,-35.9944122686,1,,,,,,,,False
417,00-0037304,Connor Heyward,TE,PIT,16.3344648255,0,92.369868329,128.111253946,-111.776789121,-128.111253946,-35.741385617,1,,,,,,,,False
418,00-0036590,Quintin Morris,TE,JAX,16.0960758044,0,91.8410169175,128.111253946,-112.015178142,-128.111253946,-36.2702370285,1,,,,,,,,False
419,00-0039686,Colson Yankoff,TE,WAS,15.7477534246,0,91.7399338196,128.111253946,-112.363500521,-128.111253946,-36.3713201264,1,,,,,,,,False
420,00-0039648,David Martin-Robinson,TE,TEN,15.7143159775,0,91.5831783031,128.111253946,-112.396937968,-128.111253946,-36.5280756429,1,,,,,,,,False
421,00-0037594,Julius Chestnut,RB,TEN,15.5638822737,0,91.4093286914,128.207979266,-112.644096992,-128.207979266,-36.7986505746,1,,,,,,,,False
422,00-0039917,Michael Penix Jr.,QB,ATL,114.303440602,33.7123314682,194.894549735,227.064343853,-112.760903251,-193.352012385,-32.169794118,1,,,,,,,,False
423,00-0040563,Efton Chism III,WR,NE,21.4409740297,0,97.3050095832,134.583314587,-113.142340557,-134.583314587,-37.2783050038,1,,,,,,,,False
424,00-0038783,Nate Adkins,TE,DEN,14.640115017,0,90.3021240722,128.111253946,-113.471138929,-128.111253946,-37.8091298738,1,,,,,,,,False
425,00-0040058,Nick Kallerup,TE,SEA,14.5914957668,0,90.2863489698,128.111253946,-113.519758179,-128.111253946,-37.8249049762,1,,,,,,,,False
426,00-0035645,Gunner Olszewski,WR,NYG,20.8574755011,0,96.99165115,134.583314587,-113.725839086,-134.583314587,-37.591663437,1,,,,,,,,False
427,00-0030565,Geno Smith,QB,LV,113.048950526,35.998762998,190.099138053,227.064343853,-114.015393327,-191.065580855,-36.9652058,1,,,,,,,,False
428,00-0040184,KeAndre Lambert-Smith,WR,LAC,20.3613012784,0,96.0630875977,134.583314587,-114.222013309,-134.583314587,-38.5202269893,1,,,,,,,,False
429,00-0041132,Deion Burks,WR,IND,20.2474023802,0,43.1722333236,134.583314587,-114.335912207,-134.583314587,-91.4110812634,1,,,,,,,,True
430,00-0036887,Luke Farrell,TE,SF,13.5517333965,0,89.4743317766,128.111253946,-114.55952055,-128.111253946,-38.6369221694,1,,,,,,,,False
431,00-0039394,Casey Washington,WR,ATL,20.0016841784,0,95.690915075,134.583314587,-114.581630409,-134.583314587,-38.892399512,1,,,,,,,,False
432,00-0032268,Marcus Mariota,QB,WAS,112.202847654,24.7703455715,199.635349737,227.064343853,-114.861496199,-202.293998281,-27.428994116,1,,,,,,,,False
433,00-0041131,Carsen Ryan,TE,CLE,12.9791784276,0,26.4627825752,128.111253946,-115.132075518,-128.111253946,-101.648471371,1,,,,,,,,True
434,00-0039021,Roschon Johnson,RB,CHI,12.6760517761,0,88.435321305,128.207979266,-115.53192749,-128.207979266,-39.772657961,1,,,,,,,,False
435,00-0037475,Stone Smartt,TE,NYJ,12.4581030478,0,88.1178931702,128.111253946,-115.653150898,-128.111253946,-39.9933607758,1,,,,,,,,False
436,00-0040075,LaJohntay Wester,WR,BAL,18.8890998631,0,94.6482533247,134.583314587,-115.694214724,-134.583314587,-39.9350612623,1,,,,,,,,False
437,00-0039305,Jack Westover,TE,NE,12.3684948455,0,88.0379284435,128.111253946,-115.742759101,-128.111253946,-40.0733255025,1,,,,,,,,False
438,00-0038953,Dylan Drummond,WR,ATL,18.739776817,0,94.5336262168,134.583314587,-115.84353777,-134.583314587,-40.0496883702,1,,,,,,,,False
439,00-0038710,Blake Whiteheart,TE,CLE,12.2124751907,0,87.8987366348,128.111253946,-115.898778755,-128.111253946,-40.2125173112,1,,,,,,,,False
440,00-0038465,Malik Heath,WR,GB,18.316161468,0,94.0531622777,134.583314587,-116.267153119,-134.583314587,-40.5301523093,1,,,,,,,,False
441,00-0038589,Josh Whyle,TE,GB,11.3578243085,0,87.0296493631,128.111253946,-116.753429638,-128.111253946,-41.0816045829,1,,,,,,,,False
442,00-0034365,Ian Thomas,TE,LV,11.2738041454,0,87.0238688813,128.111253946,-116.837449801,-128.111253946,-41.0873850647,1,,,,,,,,False
443,00-0036265,AJ Dillon,RB,PHI,11.2051524981,0,87.2546742626,128.207979266,-117.002826768,-128.207979266,-40.9533050034,1,,,,,,,,False
444,00-0037120,Tyler Goodson,RB,IND,11.0310594781,0,86.687436992,128.207979266,-117.176919788,-128.207979266,-41.520542274,1,,,,,,,,False
445,00-0033282,Curtis Samuel,WR,BUF,17.3753814441,0,93.0995186106,134.583314587,-117.207933143,-134.583314587,-41.4837959764,1,,,,,,,,False
446,00-0035359,David Sills,WR,ATL,17.0128058653,0,92.8611346588,134.583314587,-117.570508722,-134.583314587,-41.7221799282,1,,,,,,,,False
447,00-0036414,Cam Akers,RB,MIN,10.5945159871,0,86.679017655,128.207979266,-117.613463279,-128.207979266,-41.528961611,1,,,,,,,,False
448,00-0036628,John Bates,TE,WAS,10.449964131,0,87.0188495927,128.111253946,-117.661289815,-128.111253946,-41.0924043533,1,,,,,,,,False
449,00-0040432,Beaux Collins,WR,NYG,16.0785932887,0,91.8592590283,134.583314587,-118.504721298,-134.583314587,-42.7240555587,1,,,,,,,,False
450,00-0033357,Taysom Hill,TE,NO,9.59176693075,0,90.6382877933,128.111253946,-118.519487015,-128.111253946,-37.4729661527,1,,,,,,,,False
451,00-0037348,Tanner Conner,TE,MIA,9.55683907116,0,85.3249797856,128.111253946,-118.554414875,-128.111253946,-42.7862741604,1,,,,,,,,False
452,00-0034981,Foster Moreau,TE,NO,9.50068203697,0,85.3627602514,128.111253946,-118.610571909,-128.111253946,-42.7484936946,1,,,,,,,,False
453,00-0040205,Kalel Mullings,RB,TEN,9.43395812589,0,85.2820028755,128.207979266,-118.77402114,-128.207979266,-42.9259763905,1,,,,,,,,False
454,00-0036727,Adam Prentice,RB,DEN,9.33963255352,0,85.030290172,128.207979266,-118.868346712,-128.207979266,-43.177689094,1,,,,,,,,False
455,00-0036741,Jack Stoll,TE,NO,8.95206500913,0,84.6162677148,128.111253946,-119.159188937,-128.111253946,-43.4949862312,1,,,,,,,,False
456,00-0038397,Evan Hull,RB,NO,8.83189861361,0,84.5701342814,128.207979266,-119.376080652,-128.207979266,-43.6378449846,1,,,,,,,,False
457,00-0036876,Kylen Granson,TE,PHI,8.71571594601,0,84.5542094788,128.111253946,-119.395538,-128.111253946,-43.5570444672,1,,,,,,,,False
458,00-0037086,Grant Calcaterra,TE,PHI,8.35856928873,0,84.3088390803,128.111253946,-119.752684657,-128.111253946,-43.8024148657,1,,,,,,,,False
459,00-0039623,Mason Tipton,WR,NO,14.5798698504,0,90.3519127605,134.583314587,-120.003444737,-134.583314587,-44.2314018265,1,,,,,,,,False
460,00-0037617,Hassan Haskins,RB,LAC,7.86141505071,0,83.5361532669,128.207979266,-120.346564215,-128.207979266,-44.6718259991,1,,,,,,,,False
461,00-0037557,Ronnie Rivers,RB,LA,6.95951454537,0,82.8837238596,128.207979266,-121.248464721,-128.207979266,-45.3242554064,1,,,,,,,,False
462,00-0039364,Sione Vaki,RB,DET,6.90573522838,0,82.7089782554,128.207979266,-121.302244038,-128.207979266,-45.4990010106,1,,,,,,,,False
463,00-0039363,Isaac Guerendo,RB,SF,6.89295862358,0,82.9699502083,128.207979266,-121.315020642,-128.207979266,-45.2380290577,1,,,,,,,,False
464,00-0039379,Jamari Thrash,WR,CLE,13.2631546735,0,88.9570605482,134.583314587,-121.320159913,-134.583314587,-45.6262540388,1,,,,,,,,False
465,00-0034959,Andrew Beck,RB,NYJ,6.6803911128,0,82.3959797654,128.207979266,-121.527588153,-128.207979266,-45.8119995006,1,,,,,,,,False
466,00-0035021,Ashton Dulin,WR,IND,12.3939403011,0,88.2721475188,134.583314587,-122.189374286,-134.583314587,-46.3111670682,1,,,,,,,,False
467,00-0040649,Robbie Ouzts,RB,SEA,5.97903035171,0,82.00202765,128.207979266,-122.228948914,-128.207979266,-46.205951616,1,,,,,,,,False
468,00-0039754,Devin Culp,TE,TB,5.5705447944,0,81.3024819549,128.111253946,-122.540709152,-128.111253946,-46.8087719911,1,,,,,,,,False
469,00-0032398,Chris Moore,WR,WAS,11.7329253879,0,88.3439844237,134.583314587,-122.850389199,-134.583314587,-46.2393301633,1,,,,,,,,False
470,00-0039816,Anthony Gould,WR,IND,11.5692569712,0,87.3116431122,134.583314587,-123.014057616,-134.583314587,-47.2716714748,1,,,,,,,,False
471,00-0036165,Isaiah Hodgins,WR,NYG,11.1364508655,0,87.0240913178,134.583314587,-123.446863721,-134.583314587,-47.5592232692,1,,,,,,,,False
472,00-0038938,Jalin Hyatt,WR,NYG,11.1211242922,0,86.7955856237,134.583314587,-123.462190295,-134.583314587,-47.7877289633,1,,,,,,,,False
473,00-0033891,Zay Jones,WR,ARI,11.1024813658,0,86.9957883223,134.583314587,-123.480833221,-134.583314587,-47.5875262647,1,,,,,,,,False
474,00-0036842,Kene Nwangwu,RB,NYJ,4.28254838126,0,79.9646604676,128.207979266,-123.925430885,-128.207979266,-48.2433187984,1,,,,,,,,False
475,00-0038519,Nikko Remigio,WR,KC,10.3793890793,0,86.069791738,134.583314587,-124.203925508,-134.583314587,-48.513522849,1,,,,,,,,False
476,00-0033455,Anthony Firkser,TE,DET,3.74868414282,0,79.4396128397,128.111253946,-124.362569803,-128.111253946,-48.6716411063,1,,,,,,,,False
477,00-0037292,Andrew Ogletree,TE,IND,3.25928792549,0,79.0821314259,128.111253946,-124.851966021,-128.111253946,-49.0291225201,1,,,,,,,,False
478,00-0031687,Raheem Mostert,RB,LV,3.32816714057,0,79.4758452277,128.207979266,-124.879812125,-128.207979266,-48.7321340383,1,,,,,,,,False
479,00-0039407,Dylan Laube,RB,LV,3.22136980495,0,79.0085624383,128.207979266,-124.986609461,-128.207979266,-49.1994168277,1,,,,,,,,False
480,00-0041133,Dallen Bentley,TE,DEN,3.11647357054,0,7.86327613741,128.111253946,-124.994780375,-128.111253946,-120.247977809,1,,,,,,,,True
481,00-0034521,Allen Lazard,WR,NYJ,9.04177471407,0,84.9868530505,134.583314587,-125.541539873,-134.583314587,-49.5964615365,1,,,,,,,,False
482,00-0037654,Tucker Fisk,TE,LAC,2.49238257101,0,78.2473516344,128.111253946,-125.618871375,-128.111253946,-49.8639023116,1,,,,,,,,False
483,00-0036332,Josiah Deguara,TE,ARI,2.47071900647,0,78.2328550958,128.111253946,-125.64053494,-128.111253946,-49.8783988502,1,,,,,,,,False
484,00-0034270,Tyler Conklin,TE,LAC,2.40896970384,0,78.6989538347,128.111253946,-125.702284242,-128.111253946,-49.4123001113,1,,,,,,,,False
485,00-0038824,Ryan Miller,WR,TB,8.81839244929,0,84.4776753344,134.583314587,-125.764922138,-134.583314587,-50.1056392526,1,,,,,,,,False
486,00-0039050,Payne Durham,TE,TB,2.30949189939,0,78.1986874269,128.111253946,-125.801762047,-128.111253946,-49.9125665191,1,,,,,,,,False
487,00-0036630,Tylan Wallace,WR,BAL,8.72673437982,0,84.4330129726,134.583314587,-125.856580207,-134.583314587,-50.1503016144,1,,,,,,,,False
488,00-0033246,Johnny Mundt,TE,JAX,2.03300152754,0,78.0310203582,128.111253946,-126.078252418,-128.111253946,-50.0802335878,1,,,,,,,,False
489,00-0038573,Derius Davis,WR,LAC,8.44769947443,0,84.0933294497,134.583314587,-126.135615113,-134.583314587,-50.4899851373,1,,,,,,,,False
490,00-0033217,Mo Alie-Cox,TE,IND,1.734459344,0,78.0388830457,128.111253946,-126.376794602,-128.111253946,-50.0723709003,1,,,,,,,,False
491,00-0038496,Xavier Gipson,WR,PHI,7.79639474686,0,83.5358716251,134.583314587,-126.78691984,-134.583314587,-51.0474429619,1,,,,,,,,False
492,00-0035291,Trayveon Williams,RB,CLE,0.65393292097,0,76.6245967296,128.207979266,-127.554046345,-128.207979266,-51.5833825364,1,,,,,,,,False
493,00-0037487,Deven Thompkins,WR,ATL,6.91402217123,0,82.5677073217,134.583314587,-127.669292416,-134.583314587,-52.0156072653,1,,,,,,,,False
494,00-0036232,Harrison Bryant,TE,HOU,0,0,75.8458428657,128.111253946,-128.111253946,-128.111253946,-52.2654110803,1,,,,,,,,False
495,00-0034798,Durham Smythe,TE,CHI,0,0,75.7842050958,128.111253946,-128.111253946,-128.111253946,-52.3270488502,1,,,,,,,,False
496,00-0031484,Chris Manhertz,TE,NYG,0,0,75.7058501672,128.111253946,-128.111253946,-128.111253946,-52.4054037788,1,,,,,,,,False
497,00-0036429,Charlie Woerner,TE,ATL,0,0,75.9506614736,128.111253946,-128.111253946,-128.111253946,-52.1605924724,1,,,,,,,,False
498,00-0038643,Brayden Willis,TE,SF,0,0,75.7629242809,128.111253946,-128.111253946,-128.111253946,-52.3483296651,1,,,,,,,,False
499,00-0033576,Eric Saubert,TE,SEA,0,0,75.7947456236,128.111253946,-128.111253946,-128.111253946,-52.3165083224,1,,,,,,,,False
500,00-0036825,Feleipe Franks,TE,ATL,0,0,75.8731607592,128.111253946,-128.111253946,-128.111253946,-52.2380931868,1,,,,,,,,False
501,00-0033439,Pharaoh Brown,TE,ARI,0,0,75.7342864259,128.111253946,-128.111253946,-128.111253946,-52.3769675201,1,,,,,,,,False
502,00-0034073,Ross Dwelley,TE,DET,0,0,75.6899423198,128.111253946,-128.111253946,-128.111253946,-52.4213116262,1,,,,,,,,False
503,00-0037258,Dameon Pierce,RB,HOU,0,0,76.5858020128,128.207979266,-128.207979266,-128.207979266,-51.6221772532,1,,,,,,,,False
504,00-0035567,Craig Reynolds,RB,DET,0,0,75.8909635893,128.207979266,-128.207979266,-128.207979266,-52.3170156767,1,,,,,,,,False
505,00-0036906,Khalil Herbert,RB,NYJ,0,0,76.0576253028,128.207979266,-128.207979266,-128.207979266,-52.1503539632,1,,,,,,,,False
506,00-0038040,Zamir White,RB,LV,0,0,76.3295111227,128.207979266,-128.207979266,-128.207979266,-51.8784681433,1,,,,,,,,False
507,00-0037745,Velus Jones Jr.,RB,NO,0,0,76.2020076851,128.207979266,-128.207979266,-128.207979266,-52.0059715809,1,,,,,,,,False
508,00-0033854,Dare Ogunbowale,RB,HOU,0,0,75.974546309,128.207979266,-128.207979266,-128.207979266,-52.233432957,1,,,,,,,,False
509,00-0035594,Travis Homer,RB,CHI,0,0,75.9882870028,128.207979266,-128.207979266,-128.207979266,-52.2196922632,1,,,,,,,,False
510,00-0034367,Nyheim Hines,RB,LAC,0,0,76.8957571957,128.207979266,-128.207979266,-128.207979266,-51.3122220703,1,,,,,,,,False
511,00-0035628,D'Ernest Johnson,RB,NE,0,0,75.9494512411,128.207979266,-128.207979266,-128.207979266,-52.2585280249,1,,,,,,,,False
512,00-0036425,DeeJay Dallas,RB,JAX,0,0,75.9955128157,128.207979266,-128.207979266,-128.207979266,-52.2124664503,1,,,,,,,,False
513,00-0033943,Josh Reynolds,WR,NYJ,5.48717768903,0,81.3687026216,134.583314587,-129.096136898,-134.583314587,-53.2146119654,1,,,,,,,,False
514,00-0034983,Hunter Renfrow,WR,CAR,4.95521250607,0,81.067296173,134.583314587,-129.628102081,-134.583314587,-53.516018414,1,,,,,,,,False
515,00-0036620,Dee Eskridge,WR,MIA,3.19037730603,0,79.1590355748,134.583314587,-131.392937281,-134.583314587,-55.4242790122,1,,,,,,,,False
516,00-0036959,Michael Bandy,WR,DEN,2.56393294321,0,78.6286070468,134.583314587,-132.019381644,-134.583314587,-55.9547075402,1,,,,,,,,False
517,00-0038576,Charlie Jones,WR,CIN,2.14442268827,0,77.909344888,134.583314587,-132.438891899,-134.583314587,-56.673969699,1,,,,,,,,False
518,00-0035544,Tom Kennedy,WR,DET,0,0,75.7478240095,134.583314587,-134.583314587,-134.583314587,-58.8354905775,1,,,,,,,,False
519,00-0031763,DeAndre Carter,WR,CLE,0,0,75.7097655148,134.583314587,-134.583314587,-134.583314587,-58.8735490722,1,,,,,,,,False
520,00-0034419,Braxton Berrios,WR,HOU,0,0,75.782347307,134.583314587,-134.583314587,-134.583314587,-58.80096728,1,,,,,,,,False
521,00-0034407,Ray-Ray McCloud,WR,ATL,0,0,76.3457800194,134.583314587,-134.583314587,-134.583314587,-58.2375345676,1,,,,,,,,False
522,00-0034487,Trent Sherfield,WR,DEN,0,0,75.7157750379,134.583314587,-134.583314587,-134.583314587,-58.8675395491,1,,,,,,,,False
523,00-0034272,Marquez Valdes-Scantling,WR,PIT,0,0,76.3020575143,134.583314587,-134.583314587,-134.583314587,-58.2812570727,1,,,,,,,,False
524,00-0038640,Jalen Brooks,WR,ARI,0,0,76.0248907345,134.583314587,-134.583314587,-134.583314587,-58.5584238525,1,,,,,,,,False
525,00-0032951,Laquon Treadwell,WR,IND,0,0,75.8851943899,134.583314587,-134.583314587,-134.583314587,-58.6981201971,1,,,,,,,,False
526,00-0039062,Jonathan Mingo,WR,DAL,0,0,76.4663731502,134.583314587,-134.583314587,-134.583314587,-58.1169414368,1,,,,,,,,False
527,00-0038752,Jake Bobo,WR,SEA,0,0,75.8405063769,134.583314587,-134.583314587,-134.583314587,-58.7428082101,1,,,,,,,,False
528,00-0033572,Jamal Agnew,WR,ATL,0,0,75.7536078253,134.583314587,-134.583314587,-134.583314587,-58.8297067617,1,,,,,,,,False
529,00-0033591,Noah Brown,WR,WAS,0,0,75.9678259574,134.583314587,-134.583314587,-134.583314587,-58.6154886296,1,,,,,,,,False
530,00-0037132,Britain Covey,WR,PHI,0,0,75.7639442401,134.583314587,-134.583314587,-134.583314587,-58.8193703469,1,,,,,,,,False
531,00-0036331,Devin Duvernay,WR,CHI,0,0,75.9921716603,134.583314587,-134.583314587,-134.583314587,-58.5911429267,1,,,,,,,,False
532,00-0036862,Ben Skowronek,WR,PIT,0,0,75.9795097834,134.583314587,-134.583314587,-134.583314587,-58.6038048036,1,,,,,,,,False
533,00-0034418,Cedrick Wilson Jr.,WR,MIA,0,0,75.7623212636,134.583314587,-134.583314587,-134.583314587,-58.8209933234,1,,,,,,,,False
534,00-0036841,Austin Trammell,WR,JAX,0,0,75.7992512015,134.583314587,-134.583314587,-134.583314587,-58.7840633855,1,,,,,,,,False
535,00-0036646,Simi Fehoko,WR,ARI,0,0,75.8123563134,134.583314587,-134.583314587,-134.583314587,-58.7709582736,1,,,,,,,,False
536,00-0034860,Dante Pettis,WR,NO,0,0,75.9544690292,134.583314587,-134.583314587,-134.583314587,-58.6288455578,1,,,,,,,,False
537,00-0037093,Dareke Young,WR,SEA,0,0,75.8433445187,134.583314587,-134.583314587,-134.583314587,-58.7399700683,1,,,,,,,,False
538,00-0035298,Scott Miller,WR,PIT,0,0,76.0555174554,134.583314587,-134.583314587,-134.583314587,-58.5277971316,1,,,,,,,,False
539,00-0036133,James Proche,WR,TEN,0,0,75.7673001877,134.583314587,-134.583314587,-134.583314587,-58.8160143993,1,,,,,,,,False
540,00-0035891,Cody White,WR,SEA,0,0,75.9986974495,134.583314587,-134.583314587,-134.583314587,-58.5846171375,1,,,,,,,,False
541,00-0035876,Andre Baccellia,WR,ARI,0,0,75.7076284483,134.583314587,-134.583314587,-134.583314587,-58.8756861387,1,,,,,,,,False
542,00-0034854,KhaDarel Hodge,WR,ATL,0,0,75.7098322553,134.583314587,-134.583314587,-134.583314587,-58.8734823317,1,,,,,,,,False
543,00-0035602,Alex Bachman,WR,LV,0,0,75.7234669739,134.583314587,-134.583314587,-134.583314587,-58.8598476131,1,,,,,,,,False
544,00-0036176,Mason Kinsey,WR,TEN,0,0,75.7736996436,134.583314587,-134.583314587,-134.583314587,-58.8096149434,1,,,,,,,,False
545,00-0038128,Malik Willis,QB,GB,84.9051557119,5.66505791949,164.145253504,227.064343853,-142.159188141,-221.399285934,-62.919090349,1,,,,,,,,False
546,00-0039376,Spencer Rattler,QB,NO,82.2024037164,0,164.889605087,227.064343853,-144.861940137,-227.064343853,-62.174738766,1,,,,,,,,False
547,00-0040668,Shedeur Sanders,QB,CLE,77.666810633,0,158.642969241,227.064343853,-149.39753322,-227.064343853,-68.421374612,1,,,,,,,,False
548,00-0032950,Carson Wentz,QB,MIN,74.5319707386,0,151.428304684,227.064343853,-152.532373114,-227.064343853,-75.636039169,1,,,,,,,,False
549,00-0035993,Tyler Huntley,QB,BAL,61.6976985143,0,140.528751109,227.064343853,-165.366645339,-227.064343853,-86.535592744,1,,,,,,,,False
550,00-0040234,Quinn Ewers,QB,MIA,60.978948126,0,140.42418596,227.064343853,-166.085395727,-227.064343853,-86.640157893,1,,,,,,,,False
551,00-0040704,Dillon Gabriel,QB,CLE,60.3141791632,0,138.463416563,227.064343853,-166.75016469,-227.064343853,-88.60092729,1,,,,,,,,False
552,00-0041056,Cade Klubnik,QB,NYJ,60.2732156352,23.2771587865,99.7066529529,227.064343853,-166.791128218,-203.787185067,-127.3576909,1,,,,,,,,True
553,00-0036898,Davis Mills,QB,HOU,59.0296292532,0,137.212311521,227.064343853,-168.0347146,-227.064343853,-89.852032332,1,,,,,,,,False
554,00-0029604,Kirk Cousins,QB,ATL,54.4258543462,0,132.254776602,227.064343853,-172.638489507,-227.064343853,-94.809567251,1,,,,,,,,False
555,00-0040206,Riley Leonard,QB,IND,48.5679843007,0,125.026325638,227.064343853,-178.496359552,-227.064343853,-102.038018215,1,,,,,,,,False
556,00-0026158,Joe Flacco,QB,CIN,43.9235956654,0,123.926895236,227.064343853,-183.140748188,-227.064343853,-103.137448617,1,,,,,,,,False
557,00-0035100,Jake Browning,QB,CIN,42.5572531422,0,118.702754926,227.064343853,-184.507090711,-227.064343853,-108.361588927,1,,,,,,,,False
558,00-0033869,Mitchell Trubisky,QB,BUF,38.1065185401,0,113.93781796,227.064343853,-188.957825313,-227.064343853,-113.126525893,1,,,,,,,,False
559,00-0041117,Athan Kaliakmanis,QB,WAS,36.0862677366,11.0520760933,63.2401218633,227.064343853,-190.978076116,-216.01226776,-163.82422199,1,,,,,,,,True
560,00-0038400,Tanner McKee,QB,PHI,30.2195755598,0,106.335280379,227.064343853,-196.844768293,-227.064343853,-120.729063474,1,,,,,,,,False
561,00-0040891,Cole Payton,QB,PHI,28.7965446263,8.8921274722,50.12260897,227.064343853,-198.267799227,-218.172216381,-176.941734883,1,,,,,,,,True
562,00-0029263,Russell Wilson,QB,NYG,28.3613092551,0,105.14271372,227.064343853,-198.703034598,-227.064343853,-121.921630133,1,,,,,,,,False
563,00-0041123,Behren Morton,QB,NWE,27.40539959,7.56956809483,49.0773469038,227.064343853,-199.658944263,-219.494775758,-177.986996949,1,,,,,,,,True
564,00-0039398,Joe Milton III,QB,DAL,26.0271751153,0,101.927770092,227.064343853,-201.037168738,-227.064343853,-125.136573761,1,,,,,,,,False
565,00-0040398,Brady Cook,QB,NYJ,25.7586038927,0,102.252626263,227.064343853,-201.30573996,-227.064343853,-124.81171759,1,,,,,,,,False
566,00-0040906,Garrett Nussmeier,QB,KAN,24.5774042292,6.52638114715,44.1813384424,227.064343853,-202.486939624,-220.537962706,-182.883005411,1,,,,,,,,True
567,00-0041092,Taylen Green,QB,CLE,24.2151571385,6.46695939721,46.3725536019,227.064343853,-202.849186715,-220.597384456,-180.691790251,1,,,,,,,,True
568,00-0037013,Zach Wilson,QB,MIA,23.3828126257,0,100.910049446,227.064343853,-203.681531227,-227.064343853,-126.154294407,1,,,,,,,,False
569,00-0034771,Mason Rudolph,QB,PIT,20.297627558,0,96.3391383301,227.064343853,-206.766716295,-227.064343853,-130.725205523,1,,,,,,,,False
570,00-0037012,Trey Lance,QB,LAC,20.0311309131,0,95.829859158,227.064343853,-207.03321294,-227.064343853,-131.234484695,1,,,,,,,,False
571,00-0040494,Max Brosmer,QB,MIN,16.3790046962,0,92.1008877611,227.064343853,-210.685339157,-227.064343853,-134.963456092,1,,,,,,,,False
572,00-0028118,Tyrod Taylor,QB,NYJ,15.9908636443,0,92.0742894473,227.064343853,-211.073480209,-227.064343853,-134.990054406,1,,,,,,,,False
573,00-0033949,Joshua Dobbs,QB,NE,14.0686130026,0,93.3195338221,227.064343853,-212.99573085,-227.064343853,-133.744810031,1,,,,,,,,False
574,00-0038102,Kenny Pickett,QB,LV,7.54876967285,0,83.5696097383,227.064343853,-219.51557418,-227.064343853,-143.494734115,1,,,,,,,,False
575,00-0035289,Gardner Minshew,QB,KC,0.548097862763,0,76.6845773977,227.064343853,-226.51624599,-227.064343853,-150.379766455,1,,,,,,,,False
576,00-0033662,Cooper Rush,QB,BAL,0,0,76.6825188172,227.064343853,-227.064343853,-227.064343853,-150.381825036,1,,,,,,,,False
577,00-0027973,Andy Dalton,QB,CAR,0,0,76.9987839598,227.064343853,-227.064343853,-227.064343853,-150.065559893,1,,,,,,,,False
578,00-0033319,Nick Mullens,QB,JAX,0,0,75.8279009709,227.064343853,-227.064343853,-227.064343853,-151.236442882,1,,,,,,,,False
