position,rows,matched_salary_rows,match_rate,median_salary_millions,median_value_score,median_value_above_expected_salary
QB,547,526,0.961608775137,10.0152850125,-0.245679629863,0.0310755596565
RB,1236,1168,0.94498381877,1.6192415,0.108719830873,0.18424051311
TE,1041,1012,0.972142170989,1.95777478333,-0.250516170328,-0.113368119876
WR,1929,1863,0.965785381026,1.878251,-0.288953736564,-0.111573787818
