season,player_seasons,median_salary_millions,mean_salary_millions,mean_value_above_expected_salary,median_value_above_expected_salary
2016,319,2.230304,7.44703244006,-0.00442559494311,-0.0788496626697
2017,347,2.723425,7.06850641659,-0.0513159081529,-0.121879119937
2018,340,2.53636836875,7.66837540664,0.00439069904092,-0.0936208658295
2019,338,2.4426489875,6.89872266206,0.0169416635767,-0.07220021614
2020,350,1.92205804166,7.16042202715,0.0479389229657,0.0096090262353
2021,358,2.38039225625,7.71201538213,-0.0348665795485,-0.0752995391452
2022,359,2.46151783333,8.04915204908,-0.0479715375849,-0.0767446155524
2023,370,2.33218770417,7.74978814108,-0.117562328895,-0.176502659565
2024,372,2.56765717708,8.27176133592,-0.0154792047043,-0.0884338809833
2025,378,2.27872344792,7.71711802872,-0.0263925316322,-0.142900783741
