week_offset_vs_reference_minus1,n_observations,interaction_coefficient,interaction_se,t_stat,p_value_approx
-4,19543,0.926908218903,0.475196377118,1.95057930476,0.0511071110381
-3,19987,1.01406779143,0.477409579599,2.12410440586,0.0336614141827
-2,20682,0.491038784709,0.46305606389,1.06043052451,0.288948781513
