player_id,player_display_name,position,primary_team_2025,teams_2025,games_played_2025,age_2025,years_exp_2025,draft_number,fantasy_points_ppr_2025,fantasy_points_ppr_per_game_2025,targets_2025,receptions_2025,carries_2025,value_score,predicted_2026_fantasy_points_ppr,predicted_2026_games_played,predicted_2026_ppr_per_game,projection_change_from_2025,projection_change_label,prediction_interval_low,prediction_interval_high,prediction_uncertainty,model_disagreement,fantasy_overall_rank,fantasy_position_rank,predicted_2026_overall_percentile,predicted_2026_position_percentile,fantasy_projection_tier,usage_profile,breakout_potential,slump_potential,draft_board_bucket,confidence_score,confidence_level,selected_model,selected_model_label,model_selection_reason,fantasy_note,fantasy_explanation
00-0038397,Evan Hull,RB,NO,NO,6,25,2,176,6.4,1.06666666667,1,1,19,-0.274631555024,8.83189861361,3.25869482443,2.75659944666,2.43189861361,Similar to 2025,0,84.5555634409,59.1591131463,2.76645545574,423,107,0.164356435644,0.165354330709,Low Projection,Limited RB usage,Low,Low,Stable Option,50.1,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 8.8 PPR points vs 6.4 in 2025 (+2.4). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 3.3 projected games at 2.8 PPR/game. Reasonable model range: 0-85 PPR.
00-0038824,Ryan Miller,WR,TB,TB,9,25,2,,11.4,1.26666666667,4,2,0,-0.602657115888,8.81839244929,5.60795377599,1.91962911151,-2.58160755071,Similar to 2025,0,84.4694901818,59.1024201035,0.973996725722,424,170,0.162376237624,0.179611650485,Low Projection,Limited WR volume,Low,Low,Stable Option,67,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 8.8 PPR points vs 11.4 in 2025 (-2.6). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.6 projected games at 1.9 PPR/game. Reasonable model range: 0-84 PPR.
00-0036630,Tylan Wallace,WR,BAL,BAL,11,26,4,131,14.5,1.31818181818,8,4,0,-0.485266713558,8.72673437982,6.42158767861,2.3672349922,-5.77326562018,Similar to 2025,0,84.4473048579,59.156695686,2.71426822929,425,171,0.160396039604,0.174757281553,Low Projection,Limited WR volume,Low,Low,Stable Option,84.2,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 8.7 PPR points vs 14.5 in 2025 (-5.8). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 6.4 projected games at 2.4 PPR/game. Reasonable model range: 0-84 PPR.
00-0036876,Kylen Granson,TE,PHI,PHI,12,27,4,127,11,0.916666666667,9,7,0,-0.729852324424,8.71571594601,8.84226016061,1.90014352536,-2.28428405399,Similar to 2025,0,84.5739001294,59.2642063933,4.4831648372,426,91,0.158415841584,0.181818181818,Low Projection,Limited TE receiving volume,Low,Low,Stable Option,76.7,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 8.7 PPR points vs 11.0 in 2025 (-2.3). Usage: Limited TE receiving volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 8.8 projected games at 1.9 PPR/game. Reasonable model range: 0-85 PPR.
00-0038573,Derius Davis,WR,LAC,LAC,11,25,2,125,3.5,0.318181818182,3,2,2,-0.652571695431,8.44769947443,6.47750033939,1.31462714261,4.94769947443,Similar to 2025,0,84.1218032659,59.1203935871,1.75315299571,427,172,0.156435643564,0.169902912621,Low Projection,Limited WR volume,Low,Low,Stable Option,75.7,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 8.4 PPR points vs 3.5 in 2025 (+4.9). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 6.5 projected games at 1.3 PPR/game. Reasonable model range: 0-84 PPR.
00-0037086,Grant Calcaterra,TE,PHI,PHI,9,27,3,198,22.6,2.51111111111,13,9,0,-0.533748386192,8.35856928873,6.81898875658,2.68460126181,-14.2414307113,Similar to 2025,0,84.3009547485,59.3299886405,5.28206016728,428,92,0.154455445545,0.172727272727,Low Projection,Limited TE receiving volume,Low,Low,Stable Option,54.9,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 8.4 PPR points vs 22.6 in 2025 (-14.2). Usage: Limited TE receiving volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 6.8 projected games at 2.7 PPR/game. Reasonable model range: 0-84 PPR.
00-0037617,Hassan Haskins,RB,LAC,LAC,11,26,3,131,10,0.909090909091,4,4,17,-0.00435708679234,7.86141505071,5.71465421708,1.99797354989,-2.13858494929,Similar to 2025,0,83.5352837993,59.1202099598,1.74694969208,429,108,0.152475247525,0.157480314961,Low Projection,Limited RB usage,Low,Low,Stable Option,75.8,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 7.9 PPR points vs 10.0 in 2025 (-2.1). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.7 projected games at 2.0 PPR/game. Reasonable model range: 0-84 PPR.
00-0038496,Xavier Gipson,WR,PHI,NYJ/PHI,6,24,2,,2.6,0.433333333333,2,2,0,-0.597825642749,7.79639474686,5.11991211851,1.24498017594,5.19639474686,Similar to 2025,0,83.5137880352,59.1542135065,2.65962085838,430,173,0.150495049505,0.165048543689,Low Projection,Limited WR volume,Low,Low,Stable Option,63.4,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 7.8 PPR points vs 2.6 in 2025 (+5.2). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.1 projected games at 1.2 PPR/game. Reasonable model range: 0-84 PPR.
00-0038102,Kenny Pickett,QB,LV,LV,6,27,3,20,7.72,1.28666666667,0,0,5,-0.894590920841,7.54876967285,2.91087529503,6.4718226239,-0.171230327148,Similar to 2025,0,83.575411592,59.3958139993,5.97623026429,431,58,0.148514851485,0.0806451612903,Low Projection,QB production profile,Low,Low,Stable Option,53.2,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 7.5 PPR points vs 7.7 in 2025 (-0.2). Usage: QB production profile. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 2.9 projected games at 6.5 PPR/game. Reasonable model range: 0-84 PPR.
00-0037557,Ronnie Rivers,RB,LA,LA,6,26,3,,4.6,0.766666666667,0,0,9,0.27799872271,6.95951454537,4.09467895995,3.58909323523,2.35951454537,Similar to 2025,0,82.7822373343,59.2365021789,4.10070700263,432,109,0.146534653465,0.149606299213,Low Projection,Limited RB usage,Low,Low,Stable Option,56.3,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 7.0 PPR points vs 4.6 in 2025 (+2.4). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 4.1 projected games at 3.6 PPR/game. Reasonable model range: 0-83 PPR.
