feature_set,validation_season,feature_count,context_feature_count,train_rows,validation_rows,mae,rmse,r2,spearman_rank_corr,top_quintile_hit_rate,features
baseline_plus_team_context,2020,35,14,1313,352,0.680399398275,0.942277718839,0.228248688475,0.47548763247,0.458333333333,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team"
baseline_plus_team_context,2021,35,14,1665,360,0.699035148774,0.932999775586,0.230263065048,0.396882074507,0.459459459459,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team"
baseline_plus_team_context,2022,35,14,2025,342,0.680687189889,0.899854990477,0.259036924701,0.364671588203,0.485714285714,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team"
baseline_plus_team_context,2023,35,14,2367,350,0.676447231693,0.931061436929,0.224534429015,0.44098704766,0.408450704225,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team"
baseline_plus_team_context,2024,35,14,2717,369,0.620524556931,0.902808762082,0.232723157731,0.465906350367,0.513157894737,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team"
baseline_plus_schedule_context,2020,34,13,1313,352,0.686021597529,0.936329244195,0.237961860378,0.476718480264,0.486111111111,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_schedule_context,2021,34,13,1665,360,0.715274399235,0.947188860225,0.206672678876,0.352628772382,0.445945945946,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_schedule_context,2022,34,13,2025,342,0.69492185738,0.914799510959,0.234221172602,0.326510160886,0.457142857143,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_schedule_context,2023,34,13,2367,350,0.677499668501,0.930463612968,0.225529944558,0.441246781577,0.450704225352,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_schedule_context,2024,34,13,2717,369,0.617538326849,0.897211739316,0.242207235024,0.476939162734,0.5,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_all_context,2020,54,33,1313,352,0.682944869869,0.942134924731,0.228482575339,0.470001438305,0.486111111111,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_all_context,2021,54,33,1665,360,0.705421673422,0.939033763539,0.220274633181,0.388954543692,0.459459459459,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_all_context,2022,54,33,2025,342,0.681262145678,0.898192320234,0.261772563447,0.359609857011,0.5,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_all_context,2023,54,33,2367,350,0.678463308055,0.933098525854,0.221137401956,0.441094103935,0.394366197183,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
baseline_plus_all_context,2024,54,33,2717,369,0.620980376759,0.899926009383,0.237615307935,0.462790097661,0.486842105263,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe, team_pass_attempts, team_carries, team_targets, team_offensive_plays, team_pass_rate_proxy, team_passing_epa_per_attempt, team_rushing_epa_per_carry, team_receiving_epa_per_target, team_total_offense_epa_proxy, player_target_share_team, player_carry_share_team, player_scrimmage_touch_share_team, player_receiving_air_yards_share_team, player_qb_play_share_team, avg_team_rest, avg_rest_advantage, avg_spread_for_team, avg_total_line, home_game_rate, favorite_game_rate, division_game_rate, dome_or_closed_game_rate, outdoor_game_rate, grass_game_rate, turf_game_rate, avg_temp, avg_wind"
