validation_year,n,two_stage_rmse,two_stage_shrunk_rmse,pooled_rmse,two_stage_skill,shrunk_skill
2020,3438,6.92807383286,6.59323590793,6.16911854481,-0.12302491556,-0.0687484541006
2021,3679,6.48257709796,6.3878412666,5.89624042347,-0.0994424637357,-0.0833753049105
2022,3582,6.49501593807,6.41789861328,5.86459992444,-0.107495144042,-0.0943455130728
2023,3644,6.12906071499,6.03557698955,5.71951802046,-0.071604406711,-0.0552597208289
2024,3652,6.25167452792,6.17712650381,5.83800063219,-0.070858830239,-0.0580893859012
2025,3783,6.15677542655,6.06674029638,5.54377486799,-0.110574576558,-0.0943338142046
