season,team,player_seasons,total_cap_over_replacement_millions,total_value_over_replacement,total_dollar_surplus_millions,mean_dollar_surplus_millions
2016,NYG,10,73.2950185,1.19133732843,-66.3679100029,-6.63679100029
2024,KC,11,112.847051,7.50457764696,-66.7219021378,-6.06562746707
2022,MIA,11,89.735482,5.81180725918,-66.8183952804,-6.68183952804
2022,LAC,12,75.315721,2.31675454384,-66.8554578318,-6.0777688938
2023,TEN,11,84.760867,3.87949000791,-67.0303760312,-6.09367054829
2016,CIN,12,85.8012655,8.08822436008,-67.2500577466,-5.60417147889
2022,NE,11,71.696543,-0.844673735059,-67.8773075506,-6.78773075506
2022,WAS,15,75.057266,-2.65027898166,-68.0474918849,-5.23442245269
2020,ARI,11,71.048331,1.27725241599,-68.1905173366,-6.81905173366
2021,CLE,11,69.585779,4.77244270169,-68.2324893243,-6.82324893243
2019,NE,13,84.252103,4.3313426516,-68.2530705829,-5.25023619869
2021,NYG,10,59.470938,-5.31158959792,-68.5116738745,-7.61240820827
2023,LA,11,105.6238935,7.2385533964,-68.7532299388,-6.2502936308
2017,DEN,13,66.4573955,-4.75935273576,-68.9180249338,-5.30138653337
2016,BUF,11,78.720367,8.04332430472,-69.5086153738,-6.31896503398
2016,GB,10,104.286569,10.130801214,-69.6372112662,-6.96372112662
2022,LA,11,72.716266,-0.661063390523,-70.5122437637,-7.05122437637
2019,NO,11,108.536641,11.6311346741,-71.7493324636,-6.5226665876
2017,BAL,13,72.4630625,-1.03780161333,-72.2413015178,-5.55702319368
2023,NE,14,57.5185675,-7.12919132412,-75.3545629661,-5.38246878329
2023,ARI,11,81.0840285,1.57818973266,-75.3668199946,-6.85152909042
2019,CIN,8,83.594732,-0.547242031796,-76.6135848947,-9.57669811184
2016,JAX,12,69.473479,-4.69319019883,-76.7612478755,-6.39677065629
2016,SEA,11,97.4971995,5.93741728935,-77.020706618,-7.00188241981
2023,SEA,10,109.583925,5.48021217568,-77.0338288612,-7.70338288612
2017,SEA,12,99.3782105,4.68578171862,-77.0458070786,-6.42048392322
2024,ATL,10,96.884725,6.23024929917,-77.1689935941,-7.71689935941
2024,SEA,12,102.848698,3.05332534698,-77.5040195874,-6.45866829895
2025,CIN,14,86.992768,2.61409579638,-77.6079943301,-6.46733286084
2017,CIN,9,84.577171,1.32167465998,-77.7645787191,-8.64050874657
2024,CHI,9,78.488358,-0.026921331357,-77.7997282566,-8.64441425074
2016,IND,11,98.994934,7.51463048396,-78.0128218243,-7.0920747113
2019,ATL,11,107.235084,4.49837999983,-78.2663115213,-7.11511922921
2024,LA,12,107.765448,2.89287309281,-78.9176113432,-6.57646761193
2023,WAS,13,69.0729935,-2.01852342282,-79.1251814339,-6.08655241799
2016,BAL,11,80.477264,-0.13895757687,-79.7610751678,-7.25100683344
2023,BAL,11,124.9628425,9.90512664318,-80.2653346236,-7.29684860215
2017,GB,13,81.928561,2.37626259193,-81.0103556111,-6.23156581624
2023,LV,11,95.543075,-0.678265978932,-81.037249928,-7.36702272073
2023,KC,12,111.761873,5.94320221128,-81.3730045861,-6.78108371551
2023,BUF,11,131.805219,8.80562233268,-81.464427557,-7.40585705064
