method,method_type,n,rmse,mae,r2,skill_vs_persistence
random_forest,model,1773,4.192660183318349,2.4390121135813656,0.829591016234517,0.008725393774385859
persistence,baseline,1773,4.22956480170753,2.160318974733725,0.8265778664862904,0.0
gradient_boosting,model,1773,4.312933803826956,2.527629437563995,0.8196738363537543,-0.019711011895542807
