player_id,player_display_name,position,primary_team_2025,teams_2025,games_played_2025,age_2025,years_exp_2025,draft_number,fantasy_points_ppr_2025,fantasy_points_ppr_per_game_2025,targets_2025,receptions_2025,carries_2025,value_score,predicted_2026_fantasy_points_ppr,predicted_2026_games_played,predicted_2026_ppr_per_game,projection_change_from_2025,projection_change_label,prediction_interval_low,prediction_interval_high,prediction_uncertainty,model_disagreement,fantasy_overall_rank,fantasy_position_rank,predicted_2026_overall_percentile,predicted_2026_position_percentile,fantasy_projection_tier,usage_profile,breakout_potential,slump_potential,draft_board_bucket,confidence_score,confidence_level,selected_model,selected_model_label,model_selection_reason,fantasy_note,fantasy_explanation,predicted_p_plays_meaningfully,is_rookie_projection
00-0033857,JuJu Smith-Schuster,WR,KC,KC,17,29,8,62,73.5,4.32352941176,45,33,0,-0.426489779099,42.3236305729,9.06344003712,3.60793380893,-31.1763694271,Projected regression,0,118.191179487,59.271522589,4.57886422039,330,136,0.430795847751,0.439834024896,Depth/Volatile,Limited WR volume,Low,Low,Stable Option,82.2,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 42.3 PPR points vs 73.5 in 2025 (-31.2). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 9.1 projected games at 3.6 PPR/game. Reasonable model range: 0-118 PPR.,,False
00-0037805,Jeremy Ruckert,TE,NYJ,NYJ,14,25,3,101,46.9,3.35,29,23,0,-0.286942083391,41.5507736966,11.4934239977,3.66172939826,-5.3492263034,Similar to 2025,0,117.198512098,59.0997956262,0.799031035791,331,63,0.429065743945,0.523076923077,Starter/Flex,Limited TE receiving volume,Low,Low,Stable Option,82.5,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 41.6 PPR points vs 46.9 in 2025 (-5.3). Usage: Limited TE receiving volume. Tier: Starter/Flex. Model: Elastic Net Total-PPR Model. Two-stage context: 11.5 projected games at 3.7 PPR/game. Reasonable model range: 0-117 PPR.,,False
00-0033110,Tyler Higbee,TE,LA,LA,10,32,9,110,71.1,7.11,36,25,0,0.0473890800571,41.4024180751,8.56873352346,5.5206686962,-29.6975819249,Similar to 2025,0,117.127326907,59.1600850248,2.7871612213,332,64,0.427335640138,0.515384615385,Starter/Flex,Limited TE receiving volume,Low,Low,Stable Option,77.5,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 41.4 PPR points vs 71.1 in 2025 (-29.7). Usage: Limited TE receiving volume. Tier: Starter/Flex. Model: Elastic Net Total-PPR Model. Two-stage context: 8.6 projected games at 5.5 PPR/game. Reasonable model range: 0-117 PPR.,,False
00-0039355,Luke McCaffrey,WR,WAS,WAS,9,24,1,100,51.3,5.7,15,11,0,-0.064715270255,41.2791738811,9.14219519531,4.45891231514,-10.0208261189,Similar to 2025,0,117.03306438,59.1827269524,3.23230212963,333,137,0.425605536332,0.435684647303,Depth/Volatile,Limited WR volume,Low,Low,Stable Option,55.1,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 41.3 PPR points vs 51.3 in 2025 (-10.0). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 9.1 projected games at 4.5 PPR/game. Reasonable model range: 0-117 PPR.,,False
00-0036415,Van Jefferson,WR,TEN,TEN,14,29,5,57,70,5,52,29,0,-0.0918799382906,41.0375398352,8.24307465581,4.22562529989,-28.9624601648,Similar to 2025,0,116.836893552,59.2182450915,3.82794452069,334,138,0.423875432526,0.43153526971,Depth/Volatile,Limited WR volume,Low,Low,Stable Option,79.5,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 41.0 PPR points vs 70.0 in 2025 (-29.0). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 8.2 projected games at 4.2 PPR/game. Reasonable model range: 0-117 PPR.,,False
00-0041446,Kendrick Law,WR,DET,,0,,0,168,,,,,,,40.8112223239,9.04350757085,4.29980240095,,Rookie — no 2025 comparison,0,79.8961338217,31.2094272741,,335,139,0.42214532872,0.427385892116,Depth/Volatile,Rookie WR — no NFL usage yet,Low,Low,Volatile Depth,41.9,Low,rookie_bayes_hurdle,Bayesian Rookie Hurdle Model,"Rookie with no prior NFL data; projected from draft capital, age, physical profile, and incumbent context via a hierarchical Bayesian hurdle model (P(plays meaningfully) x PPR/game if he plays).","rookie season, no NFL track record",Rookie projection (168 overall pick): 40.8 PPR points in 2026. Modeled 81% chance of playing a meaningful role (4+ games). Two-stage context: 9.0 projected games at 4.3 PPR/game if he plays. Reasonable model range: 0-80 PPR. No 2025 NFL history to compare against.,0.814865524626,True
00-0040238,LeQuint Allen Jr.,RB,JAX,JAX,16,21,0,236,24.8,1.55,11,10,23,-0.234372484374,40.7137882033,8.49009432311,3.85577360943,15.9137882033,Similar to 2025,0,116.587304845,59.276184876,4.63882538837,336,86,0.420415224913,0.388489208633,Depth/Volatile,Limited RB usage,Low,Low,Stable Option,55.1,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 40.7 PPR points vs 24.8 in 2025 (+15.9). Usage: Limited RB usage. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 8.5 projected games at 3.9 PPR/game. Reasonable model range: 0-117 PPR.,,False
00-0039912,Ben Sinnott,TE,WAS,WAS,9,23,1,53,28.4,3.15555555556,13,11,0,-0.37779141728,40.7047813864,8.69305440712,3.81895536794,12.3047813864,Similar to 2025,0,116.780235769,59.4339487361,6.34404207885,337,65,0.418685121107,0.507692307692,Starter/Flex,Limited TE receiving volume,Low,Low,Volatile Depth,42.5,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 40.7 PPR points vs 28.4 in 2025 (+12.3). Usage: Limited TE receiving volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 8.7 projected games at 3.8 PPR/game. Reasonable model range: 0-117 PPR.,,False
00-0039792,Devontez Walker,WR,BAL,BAL,8,24,1,113,37.6,4.7,8,6,0,0.384773576218,40.6712238405,6.6062946367,3.3286736218,3.07122384045,Similar to 2025,0,117.24137528,59.8204308122,9.29174634212,338,140,0.416955017301,0.423236514523,Depth/Volatile,Limited WR volume,Low,Low,Volatile Depth,33.1,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline; wide projection range,Projects 40.7 PPR points vs 37.6 in 2025 (+3.1). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 6.6 projected games at 3.3 PPR/game. Reasonable model range: 0-117 PPR.,,False
00-0040890,Cyrus Allen,WR,KAN,,0,,0,176,,,,,,,40.5180410524,8.25337227074,4.72535939675,,Rookie — no 2025 comparison,0,76.1621668047,29.7508464081,,339,141,0.415224913495,0.419087136929,Depth/Volatile,Rookie WR — no NFL usage yet,Low,Low,Volatile Depth,42.1,Low,rookie_bayes_hurdle,Bayesian Rookie Hurdle Model,"Rookie with no prior NFL data; projected from draft capital, age, physical profile, and incumbent context via a hierarchical Bayesian hurdle model (P(plays meaningfully) x PPR/game if he plays).","rookie season, no NFL track record",Rookie projection (176 overall pick): 40.5 PPR points in 2026. Modeled 74% chance of playing a meaningful role (4+ games). Two-stage context: 8.3 projected games at 4.7 PPR/game if he plays. Reasonable model range: 0-76 PPR. No 2025 NFL history to compare against.,0.743670359387,True
