gsis_id,player_display_name,position,season,rookie_year,entry_year,draft_number,draft_club,college,height,weight,birth_date,age_at_draft_hint
00-0040900,Anthony Smith,WR,2026,2026,2026,218,DAL,East Carolina,,,,
00-0041116,Jack Endries,TE,2026,2026,2026,221,CIN,Texas,6-5,245.0,,22.0
00-0041117,Athan Kaliakmanis,QB,2026,2026,2026,223,WAS,Rutgers,,,,
00-0040901,Jaren Kanak,TE,2026,2026,2026,225,TEN,Oklahoma,6-2,234.0,,22.0
00-0041123,Behren Morton,QB,2026,2026,2026,234,NWE,Texas Tech,6-2,221.0,,
00-0041125,Seth McGowan,RB,2026,2026,2026,237,IND,Kentucky,6-0,223.0,,24.0
00-0041129,Jam Miller,RB,2026,2026,2026,245,NWE,Alabama,5-10,209.0,,22.0
00-0041131,Carsen Ryan,TE,2026,2026,2026,248,CLE,BYU,,,,23.0
00-0040906,Garrett Nussmeier,QB,2026,2026,2026,249,KAN,LSU,6-2,203.0,,
00-0041132,Deion Burks,WR,2026,2026,2026,254,IND,Oklahoma,5-10,180.0,,23.0
00-0041133,Dallen Bentley,TE,2026,2026,2026,256,DEN,Utah,6-4,253.0,,25.0
